id,count
0,97.59719
1,235.88771
2,42.088047
4,106.774025
5,81.15624
10,137.5472
11,159.20883
12,225.28326
15,71.20013
17,4.7205057
18,226.01665
23,210.28096
25,174.11629
26,84.13511
31,199.68387
39,200.12514
40,59.08703
41,122.62906
42,225.22939
43,178.05577
51,227.8085
52,69.25725
54,89.53614
60,168.1656
61,188.80461
62,156.13374
63,60.376484
65,142.1422
66,126.40032
68,196.09438
71,54.13887
80,92.91279
82,98.2671
94,187.47353
98,211.43623
101,90.12985
102,180.19252
107,87.60443
112,241.28932
113,74.949356
115,-6.396641
116,167.38268
120,89.18706
121,78.083275
122,236.13019
132,185.74814
143,27.037563
147,83.361824
150,74.96235
151,73.12949
152,222.9581
153,95.238365
155,75.80527
156,98.22631
159,203.03377
161,89.95655
163,87.607506
177,180.88463
186,97.9839
188,76.40808
190,92.06106
191,99.36164
192,187.00142
195,225.74666
200,194.9233
209,223.2695
210,68.1283
211,241.2599
214,184.80959
215,94.39542
218,156.02837
219,47.99976
222,104.78725
225,69.03891
228,230.54604
236,214.84738
241,86.37644
242,195.64772
243,224.6933
245,80.16778
247,218.13002
251,199.39061
252,90.250046
253,71.96804
254,81.57141
258,215.03615
260,75.46735
261,190.04955
265,74.58383
266,213.04367
267,207.59497
269,176.4323
270,85.20545
275,150.27385
278,84.94123
279,58.24537
286,115.45073
287,63.651016
288,200.01024
289,191.04092
293,91.016556
294,194.228
297,-33.42031
302,113.001976
303,71.63413
304,88.041954
307,140.70029
309,64.309814
311,214.75865
312,106.02088
314,216.65773
315,222.09439
319,201.01256
322,159.193
323,74.45294
325,192.43336
327,213.60445
330,71.10401
332,205.13426
333,88.266884
338,158.92296
341,88.16528
345,119.63795
348,180.75871
349,102.65174
350,125.26728
352,59.28738
355,61.538822
356,195.73666
358,73.034744
363,184.1523
369,203.36787
371,78.91749
372,201.82463
375,224.76756
380,189.66566
388,85.78478
391,204.57625
392,198.95854
393,229.11147
394,86.729645
396,69.08135
401,67.93537
407,67.1131
409,85.37946
410,132.79953
416,124.756035
418,131.56819
420,196.70058
421,224.72905
422,202.79605
424,225.25522
428,207.3502
429,224.60857
431,182.68773
435,-10.546568
439,113.25413
441,22.450047
447,82.69215
449,200.90642
451,217.47346
452,85.58445
454,193.3632
458,228.94174
463,180.73444
467,78.20177
470,118.71273
471,163.58192
474,220.5067
478,100.63291
483,112.223465
484,171.0074
485,82.56721
486,173.24168
491,126.48011
494,111.24062
495,195.92392
497,188.97888
499,219.43776
515,148.09218
518,199.67526
521,103.258026
525,206.45013
529,214.17406
532,174.84747
534,81.691536
540,78.28746
544,221.14851
547,186.86555
549,93.884865
563,64.42171
564,210.67908
567,112.26411
572,164.46062
577,188.60905
578,227.90205
585,218.19691
588,207.8412
589,177.47691
590,141.28053
592,85.21727
594,122.29059
596,84.13345
598,219.67117
599,183.7511
605,99.36013
606,164.42615
607,204.61168
608,203.64864
609,80.2492
610,210.40312
611,116.96621
614,186.48174
615,191.2499
616,211.8403
617,171.34465
618,198.19044
624,119.66711
629,193.55656
631,105.24902
633,92.55952
637,92.398445
638,146.28157
643,64.68363
644,186.98927
645,72.83897
646,187.93541
648,178.06798
650,86.32261
651,106.000694
652,230.59369
656,174.5786
657,99.447334
659,87.16755
660,183.77942
662,145.80342
665,230.08064
675,235.05602
681,175.39662
682,194.53284
685,64.23006
686,209.4187
689,81.6513
696,163.16809
703,191.23668
704,128.93907
705,176.33482
714,196.27632
717,76.9533
718,87.5158
720,87.97591
721,235.50543
723,196.54587
726,98.501396
728,184.54117
730,110.13563
731,87.52647
734,224.10553
737,67.53481
738,84.09616
745,212.56895
746,77.9569
749,201.32607
752,75.0759
753,85.38072
758,192.30621
765,98.89399
766,217.76306
768,73.59183
769,200.98181
774,195.28087
775,128.6397
781,65.39756
784,221.38127
794,109.46114
795,222.58989
796,77.16567
802,104.96302
803,108.94587
805,71.78328
806,220.79869
807,134.35223
809,64.880516
810,210.69331
812,96.53291
814,113.818214
818,208.97612
819,220.9853
825,-30.903929
836,98.30224
839,175.16943
847,217.4196
848,99.99693
851,188.87135
852,174.20882
853,23.015507
857,188.48997
858,103.623245
859,201.78145
861,-21.09336
867,158.8061
870,196.15501
871,210.67
872,237.95708
874,237.09099
881,216.99486
886,169.82918
890,65.631165
895,183.96019
899,82.60284
900,218.96938
901,213.29259
902,209.20995
903,91.54174
913,217.62141
918,219.00362
923,180.88194
924,80.494576
926,71.51908
927,86.39767
930,184.81245
934,58.326973
937,191.38991
939,160.74492
941,101.80768
942,237.17757
946,208.25348
950,135.25713
953,88.39474
959,21.430155
961,56.789818
962,106.450066
964,81.12956
969,185.3838
971,166.23283
976,73.71617
978,201.98479
980,214.34566
981,186.86969
990,225.2006
993,74.548134
996,87.78742
998,231.1504
999,198.434
1006,164.74742
1008,87.47918
1013,89.9437
1015,120.35643
1016,169.03673
1022,219.44144
1026,200.21227
1028,228.46205
1031,11.596692
1034,79.43649
1037,219.0783
1040,104.09347
1042,86.809
1046,111.874176
1048,129.27425
1049,166.60056
1050,84.74142
1051,210.25835
1052,206.06766
1055,104.54405
1060,175.89577
1064,105.2484
1066,75.63657
1071,166.51201
1073,87.97108
1089,207.32475
1091,138.8815
1092,74.38893
1093,206.37566
1096,215.56004
1097,194.88408
1098,73.60131
1099,82.15065
1102,226.09084
1107,96.85132
1109,91.40554
1111,28.276426
1112,149.76479
1114,241.85815
1116,220.80965
1117,176.24002
1118,83.76071
1122,184.68536
1124,189.38646
1127,110.34172
1133,217.66148
1134,85.03147
1135,178.48886
1139,217.9912
1143,87.08294
1150,100.65766
1151,139.31676
1153,220.11168
1155,78.2577
1162,79.642235
1163,194.75554
1166,-14.597295
1171,81.47704
1172,67.27191
